formula,k,c,s,zt
Bi1Cu1Se1O1,1.0,1.0,1.0,1.0
Bi0.98Sn0.02Cu1Se1O1,1.185518483,0.914338102,0.9926082940000001,0.759896227
Bi0.96Sn0.04Cu1Se1O1,1.3890350269999998,0.955252552,1.0258743890000002,0.723758012
Bi0.94Sn0.06Cu1Se1O1,1.221514606,0.617038684,1.1700229070000001,0.6915163559999999
Bi0.99Cd0.01Cu1Se1O1,0.8357670220000001,1.517738874,0.94684681,1.6280632290000001
Bi0.95Cd0.05Cu1Se1O1,0.8108285479999999,3.5503058430000003,0.732257644,2.347818737
Bi0.90Cd0.10Cu1Se1O1,0.942083675,3.7612318080000002,0.661383546,1.7464147669999999
Bi0.995Sb0.005Cu1Se1O1,1.019069858,1.243673265,1.0176975990000001,1.263978952
Bi0.990Sb0.010Cu1Se1O1,1.045728741,1.3452142319999998,0.932151327,1.11775148
Bi0.980Sb0.020Cu1Se1O1,1.063436466,1.552305187,0.886430561,1.146977771
Bi0.950Sb0.050Cu1Se1O1,1.1356295,1.9056001,0.52949846,0.470461949
Bi0.920Sb0.080Cu1Se1O1,1.148277875,1.832498121,0.769910537,0.9459693570000001
Bi0.98Er0.02Cu1Se1O1,1.108606956,1.9583333330000001,0.7759735240000001,1.063659993
Bi0.96Er0.04Cu1Se1O1,1.163979017,3.125,0.7353897070000001,1.451910894
Bi0.94Er0.06Cu1Se1O1,1.26714591,4.416666667,0.663960287,1.536569487
Bi0.92Er0.08Cu1Se1O1,1.3448610840000002,5.597222222,0.6152603,1.575480051
Bi0.90Er0.10Cu1Se1O1,1.370507092,6.9861111110000005,0.57142942,1.6644831169999998
Bi0.96Pb0.04Cu1Se1O1,1.26936027,3.1406300789999997,0.6863249290000001,1.16544406
Bi0.92Pb0.08Cu1Se1O1,1.60942761,10.01832516,0.42061623200000003,1.101274881
Bi0.975Mg0.25Cu1Se1O1,1.136827128,3.6753731339999995,0.86129658,2.398349403
Bi0.95Mg0.05Cu1Se1O1,1.19966801,3.541618829,0.856010024,2.163208794
Bi0.925Mg0.075Cu1Se1O1,1.16718046,3.9420206660000003,0.815061191,2.243682073
Bi0.9Mg0.1Cu1Se1O1,1.228124259,3.877583238,0.805812465,2.050155399
Bi0.875Mg0.125Cu1Se1O1,1.195873844,4.057261768,0.8599749409999999,2.509107418
Bi0.800Mg0.200Cu1Se1O1,1.5724448659999999,7.746268657000001,0.533686686,1.40310401
Bi0.98Na0.02Cu1Se1O1,0.905721297,1.158744029,0.918765499,1.079946612
Bi0.96Na0.04Cu1Se1O1,0.874854707,1.206367238,0.8019008679999999,0.886716864
Bi0.92Na0.08Cu1Se1O1,0.774506005,1.6269952230000002,0.8446549659999999,1.498718844
Bi0.90Na0.10Cu1Se1O1,0.8981015109999999,1.849236864,0.83895442,1.4492517980000001
Bi0.85Na0.15Cu1Se1O1,0.9134702309999999,2.079401142,0.7263669140000001,1.201035893
Bi0.80Na0.20Cu1Se1O1,0.8919023629999999,2.119072585,0.6579569270000001,1.02854535
Bi0.96K0.04Cu1Se1O1,0.786407767,0.979028149,1.046129178,1.362441976
Bi0.94K0.06Cu1Se1O1,0.8335644940000001,0.979028149,0.9444368890000001,1.0476153559999999
Bi0.92K0.08Cu1Se1O1,0.850208044,1.0,0.9213723,0.998493159
Bi0.970In0.030Cu1Se1O1,1.160708206,1.100393975,1.0230040059999999,0.992155668
Bi0.950In0.050Cu1Se1O1,1.126149132,1.468366165,0.924846927,1.11526527
Bi0.925In0.075Cu1Se1O1,1.207184202,1.71170336,0.8726978609999999,1.0798981140000001
Bi0.975Ba0.025Cu1Se1O1,1.059045565,14.23076923,0.599093656,4.82284352
Bi0.950Ba0.050Cu1Se1O1,1.1652736590000001,27.15384615,0.501500749,5.860660932999999
Bi0.900Ba0.100Cu1Se1O1,1.2768940420000001,50.23076923,0.41314322200000003,6.714539500000001
Bi0.875Ba0.125Cu1Se1O1,1.3518468590000001,55.92307692,0.389583006,6.278610925
Bi0.850Ba0.150Cu1Se1O1,1.454569965,60.23076923,0.34855486700000005,5.030673106
Bi0.975Mg0.025Cu1Se1O1,0.9491204329999999,1.5117634359999998,1.018223469,1.6513864619999998
Bi0.950Mg0.050Cu1Se1O1,0.9242219220000001,1.828620764,0.833955498,1.3760465769999999
Bi0.925Mg0.075Cu1Se1O1,0.903112314,2.140945392,0.781308558,1.447134805
Bi0.900Mg0.100Cu1Se1O1,0.8833558859999999,2.520181308,0.753970901,1.621829699
Bi0.875Mg0.125Cu1Se1O1,0.864411367,3.5497517810000003,0.682085079,1.910533314
Bi0.975Ca0.025Cu1Se1O1,1.0761534190000002,1.541699437,0.7803703000000001,0.872422763
Bi0.900Ca0.100Cu1Se1O1,1.354826756,6.646050272,0.54199517,1.441022262
Bi0.875Ca0.125Cu1Se1O1,1.39484899,8.25025954,0.505834711,1.513413745
Bi0.995Na0.005Cu1Se1O1,0.9116937909999999,9.096304348,0.8048642490000001,6.463403361
Bi0.990Na0.010Cu1Se1O1,0.9116937909999999,9.498695652,0.740187987,5.708198147999999
Bi0.985Na0.015Cu1Se1O1,0.807414105,11.47956522,0.753454345,8.071290735
Bi0.94La0.00Pb0.06Cu1Se1O1,1.79415434,7.339627465,0.584488957,1.397548339
Bi0.92La0.02Pb0.06Cu1Se1O1,1.806808056,9.497626003999999,0.535878095,1.509506737
Bi0.90La0.04Pb0.06Cu1Se1O1,1.530030298,7.952447042,0.5543979410000001,1.5975114209999999
Bi0.96Pb0.04Cu1Se1O1,1.580143245,7.641733058,0.662238114,2.120917366
Bi0.92Pb0.08Cu1Se1O1,1.4287478390000001,12.23123832,0.59086475,2.988759739
Bi0.90Pb0.10Cu1Se1O1,1.5989133119999999,13.79841645,0.5597948429999999,2.704345137
Bi0.940La0.060Cu1Se1O1,1.145214521,1.48211199,0.828950744,0.889306825
Bi0.920La0.080Cu1Se1O1,1.21060231,1.934524121,0.7642316859999999,0.9333031490000001
Bi0.900La0.100Cu1Se1O1,1.303011551,2.238070295,0.7376483540000001,0.934596635
Bi0.875La0.125Cu1Se1O1,1.4139851490000002,2.9285527210000004,0.684484819,0.9703666
Bi0.96Ag0.04Cu1Se1O1,1.033347056,1.192081804,0.855911132,0.845117709
Bi0.94Ag0.06Cu1Se1O1,0.9884726220000001,1.060985842,0.9147648079999999,0.898180951
Bi0.92Ag0.08Cu1Se1O1,0.870728695,1.192081804,0.933028285,1.1918259070000001
Bi0.90Ag0.10Cu1Se1O1,0.976945245,1.1188778190000002,0.9025891559999999,0.933023675
Bi0.96Ca0.02Pb0.02Cu1Se1O1,1.28063431,11.14782272,0.5789640629999999,2.917884752
Bi0.92Ca0.04Pb0.04Cu1Se1O1,1.2676597790000002,19.16462075,0.498020951,3.74966738
Bi0.88Ca0.06Pb0.06Cu1Se1O1,1.250360404,24.13709782,0.559691377,6.047098877000001
Bi0.84Ca0.08Pb0.08Cu1Se1O1,1.231619414,31.64646595,0.460437993,5.4474217110000005
Bi0.95Nd0.05Cu1Se1O1,0.9970218829999999,2.010716629,0.834588862,1.40472512
Bi0.85Nd0.15Cu1Se1O1,1.248349087,4.740030619,0.502046169,0.957045123
Bi0.975Ca0.025Cu1Se1O1,1.0791900559999998,5.194182939,0.7177487359999999,2.479500382
Bi0.950Ca0.050Cu1Se1O1,1.122894948,9.236708572000001,0.589563986,2.8591701880000002
Bi0.900Ca0.100Cu1Se1O1,1.2933039290000001,33.89787031,0.42687021799999997,4.775991318
Bi0.875Ba0.125Cu1Se1O1,2.024047555,37.49439645,0.41913326100000003,3.254242472
Bi0.750Ba0.250Cu1Se1O1,2.3723318019999997,51.92621994,0.31402315,2.158413297
Bi0.94Mg0.03Pb0.03Cu1Se1O1,1.327047851,6.636417091,0.679390725,2.308268457
Bi0.88Mg0.06Pb0.06Cu1Se1O1,1.485198702,11.545537699999999,0.558343472,2.423441205
Bi0.82Mg0.09Pb0.09Cu1Se1O1,1.668085969,19.27286685,0.4569241,2.412215046
Bi0.960Ca0.040Cu1Se1O1,0.760615385,1.033452312,0.9807421040000001,1.3068777870000001
Bi0.900Ca0.100Cu1Se1O1,0.8863589740000001,1.568232755,0.695945005,0.8569405990000001
Bi0.850Ca0.150Cu1Se1O1,0.835897436,3.0640823439999996,0.526689228,1.016848639
Bi0.98Pb0.02Cu1Se1O1,1.062704366,2.545218614,0.822579431,1.620571948
Bi0.96Pb0.04Cu1Se1O1,1.111944605,4.313628663,0.684587663,1.81809989
Bi0.92Pb0.08Cu1Se1O1,1.436814772,10.16634827,0.49820709799999996,1.756240627
Bi0.90Pb0.10Cu1Se1O1,1.570686671,12.12071514,0.448029915,1.549004615
Bi0.98Na0.02Cu1Se1O1,0.937072893,1.676572901,0.7899729,1.116537858
Bi0.96Na0.04Cu1Se1O1,0.887386105,2.50807162,0.714092141,1.441238373
Bi0.92Na0.08Cu1Se1O1,0.812927107,2.665278367,0.720867209,1.7037328999999999
Bi0.90Na0.10Cu1Se1O1,0.853075171,3.5847217060000003,0.666666667,1.86760757
Bi0.88Na0.12Cu1Se1O1,0.868308656,3.2972495310000003,0.650406504,1.606376847
Bi0.975Sr0.025Cu1Se1O1,1.10632811,2.058393113,0.9281143190000001,1.602681851
Bi0.950Sr0.050Cu1Se1O1,1.1771473909999999,5.783213773,0.620027729,1.888689761
Bi0.925Sr0.075Cu1Se1O1,1.310454275,15.65322812,0.495078862,2.927728565
Bi0.900Sr0.100Cu1Se1O1,1.340408649,17.72797704,0.459136021,2.7880765380000003
Bi0.85Sr0.15Cu1Se1O1,1.591152549,34.28823529,0.37697978,3.0624529739999997
Bi0.98Cl0.02Cu1Se1O1,1.073174578,0.444447459,1.043246591,0.45073782
Bi0.94Cl0.06Cu1Se1O1,1.048730484,0.235152074,0.853326695,0.16327345599999998
Bi0.90Cl0.10Cu1Se1O1,1.073174578,0.152454079,0.8458052909999999,0.101627085
Bi0.96Yb0.04Cu1Se1O1,1.3489795919999998,3.1263736260000003,0.8524135409999999,1.6839770930000002
Bi0.94Yb0.06Cu1Se1O1,1.287172012,5.784395604,0.739308546,2.456251613
Bi0.92Yb0.08Cu1Se1O1,1.233819242,2.234725275,0.9393106929999999,1.598052836
Bi0.90Yb0.10Cu1Se1O1,1.186588921,2.166153846,0.900689737,1.480946729
Bi0.85Yb0.15Cu1Se1O1,1.30787172,12.33494505,0.464827727,2.037774491
Bi0.7Yb0.3Cu1Se1O1,1.285131195,13.36373626,0.473104029,2.327521621
Bi0.98In0.02Cu1Se1O1,1.0344613809999998,1.977011494,0.761377126,1.107817325
Bi0.96In0.04Cu1Se1O1,1.087110716,3.1149425280000003,0.64501165,1.191967703
Bi0.94In0.06Cu1Se1O1,1.113914013,4.586206896,0.614079055,1.55301084
Bi0.92In0.08Cu1Se1O1,1.209640915,5.367816091,0.569889634,1.4417080619999998
Bi0.90In0.10Cu1Se1O1,1.258461208,5.0919540219999995,0.47709185,0.921020115
Bi0.98Ho0.02Cu1Se1O1,1.083829805,1.38461538,0.8646187040000001,0.9550306590000001
Bi0.96Ho0.04Cu1Se1O1,1.146948716,1.69230769,0.8059534759999999,0.958418689
Bi0.92Ho0.08Cu1Se1O1,1.218943724,3.679487177,0.651017104,1.27847646
Bi0.90Ho0.10Cu1Se1O1,1.255434343,5.358974355,0.583326456,1.451494254
Bi0.98Y0.02Cu1Se1O1,1.062318139,1.830690014,0.768261964,1.017142543
Bi0.96Y0.04Cu1Se1O1,1.135692722,2.591671771,0.7195633920000001,1.1807786120000001
Bi0.94Y0.06Cu1Se1O1,1.163836396,3.091247581,0.6759026029999999,1.212623193
Bi0.92Y0.08Cu1Se1O1,1.219118616,3.4165527630000003,0.46767422200000003,0.612877265
Bi0.90Y0.10Cu1Se1O1,1.23721098,2.2605575730000003,0.561712847,0.576420102
Bi0.98Li0.02Cu1Se1O1,1.014833128,5.583333333,0.8832241679999999,4.29181318
Bi0.96Li0.04Cu1Se1O1,1.0346106290000001,9.083333332999999,0.7707733659999999,5.215809418
Bi0.94Li0.06Cu1Se1O1,1.103831891,17.25,0.63669741,6.335083285
Bi0.975Sm0.025Cu1Se1O1,1.59555218,3.046986719,0.8309859159999999,1.318702642
Bi0.950Sm0.050Cu1Se1O1,1.6370146980000002,2.97344229,0.712423797,0.921899907
Bi0.900Sm0.100Cu1Se1O1,1.56162833,5.4923391210000005,0.550977508,1.067695485
